WORK_SPACE_ID,NAME,ADDRESS,X_COORD,Y_COORD,URL,AREA_GROUP
1325,스페이스탑,경기 의정부시 평화로483번길 43,127.0474344,37.73369668,http://place.map.kakao.com/1595743145,경기도
1326,플레이스236 공유오피스,경기 의정부시 의정로 177,127.0342762,37.74878437,http://place.map.kakao.com/637461662,경기도
1327,스테이션Y 양주시비상주사무실,경기 양주시 삼숭로38번길 80,127.1058278,37.79607219,http://place.map.kakao.com/1792610438,경기도
1328,워크온 소형오피스,경기 의정부시 청사로5번길 8-17,127.07001,37.74957853,http://place.map.kakao.com/660661407,경기도
1329,공유오피스 플로버 의정부점,경기 의정부시 경의로 196,127.0576065,37.73314256,http://place.map.kakao.com/515519058,경기도
1330,엘엔씨홀딩스,경기 동두천시 지행로 60,127.0538182,37.89207337,http://place.map.kakao.com/1563251484,경기도
1331,짐머스공유오피스 양주고읍센터,경기 양주시 부흥로 1932,127.0776774,37.79443995,http://place.map.kakao.com/2143744244,경기도
1332,청년창작공간 작당,경기 의정부시 호국로1135번길 6,127.0300892,37.74312473,http://place.map.kakao.com/1521600997,경기도
1333,어반라이프오피스 강동점,서울 강동구 천중로 213,127.1439739,37.54099686,http://place.map.kakao.com/930089210,서울특별시
1334,공유오피스 드림캐쳐스 미사역점,경기 하남시 미사강변중앙로 208,127.1896575,37.56505381,http://place.map.kakao.com/560191581,경기도
1335,마이존 소호사무실,경기 하남시 미사강변남로 103,127.1932919,37.56108173,http://place.map.kakao.com/1222509810,경기도
1336,슈가맨워크 성남태평역점,경기 성남시 수정구 수정로 118,127.1334268,37.44100109,http://place.map.kakao.com/1969396588,경기도
1337,GARAGE 구리점,경기 구리시 검배로 7,127.14193,37.6004001,http://place.map.kakao.com/958109345,경기도
1338,드림캐쳐스 구리역점,경기 구리시 건원대로 36,127.1404835,37.60443106,http://place.map.kakao.com/924895312,경기도
1339,슈가맨워크 하남풍산역점,경기 하남시 덕풍동로 111-21,127.2076855,37.55180406,http://place.map.kakao.com/1144156398,경기도
1340,하남스타트업캠퍼스,경기 하남시 미사강변한강로 177,127.1940699,37.57431606,http://place.map.kakao.com/153524863,경기도
1341,디워크 공유오피스,경기 하남시 미사강변중앙로7번안길 25,127.1911795,37.54940375,http://place.map.kakao.com/2024936803,경기도
1342,슈가맨워크 남양주 진접역점,경기 남양주시 진접읍 해밀예당1로 220,127.202608,37.72008063,http://place.map.kakao.com/1991461422,경기도
1343,탑플레이스 하남점,경기 하남시 대청로 9,127.21336,37.53999448,http://place.map.kakao.com/1255976554,경기도
1344,코즈비즈센타,경기 남양주시 다산중앙로145번길 15,127.1508065,37.62539331,http://place.map.kakao.com/365602371,경기도
1345,스테이지나인 하남미사점,경기 하남시 미사대로 550,127.2064657,37.55676168,http://place.map.kakao.com/1794857994,경기도
1346,슈가맨워크 평내호평점,경기 남양주시 늘을2로 20,127.2440873,37.65449213,http://place.map.kakao.com/188520208,경기도
1347,업,경기 남양주시 오남읍 진건오남로808번길 20-40,127.2054368,37.69872989,http://place.map.kakao.com/1045210963,경기도
1348,비욘드스페이스 양평점,경기 양평군 양평읍 양근로 177,127.4896243,37.49061213,http://place.map.kakao.com/1934141708,경기도
1349,케이브,경기 하남시 대청로 38,127.2163713,37.54052239,http://place.map.kakao.com/667980500,경기도
1350,플레이스93,경기 하남시 미사강변서로 25,127.1828088,37.5526597,http://place.map.kakao.com/1653577290,경기도
1351,허밍스페이스 프리미엄 소호사무실,경기 하남시 대청로22번길 9-18,127.2160578,37.54009049,http://place.map.kakao.com/1832119224,경기도
1352,내일ON 소호사무실,경기 남양주시 경춘로1256번길 9,127.2354098,37.64611442,http://place.map.kakao.com/318500102,경기도
1353,공유오피스 드림캐쳐스 위례성남송파점,경기 성남시 수정구 위례동로 135,127.1500857,37.47227866,http://place.map.kakao.com/1099055292,경기도
1354,헤드오피스 강동점,서울 강동구 양재대로 1457,127.1390221,37.53593377,http://place.map.kakao.com/60911676,서울특별시
1355,르호봇 강동비즈니스센터,서울 강동구 천호대로 1139,127.1381824,37.53460307,http://place.map.kakao.com/974466848,서울특별시
1356,베러웍스,서울 강동구 양재대로141길 9,127.1432588,37.55103485,http://place.map.kakao.com/860950017,서울특별시
1357,헤드오피스비즈니스센터 구리점,경기 구리시 건원대로 51,127.1394459,37.60551708,http://place.map.kakao.com/1455649892,경기도
1358,가라지 구리점,경기 구리시 검배로 7,127.14193,37.6004001,http://place.map.kakao.com/488828735,경기도
1359,스마트워커,경기 하남시 미사강변대로226번안길 9,127.1849485,37.56944732,http://place.map.kakao.com/309753943,경기도
1360,마이존 소호사무실,경기 하남시 미사강변남로 103,127.1932987,37.56108262,http://place.map.kakao.com/1239008370,경기도
1361,하남웍스비즈센터,경기 하남시 덕풍동로 111-21,127.2077037,37.55181845,http://place.map.kakao.com/959745110,경기도
1362,한얼비즈니스센터 강동점,서울 강동구 양재대로 1377,127.1362627,37.52922092,http://place.map.kakao.com/1695676284,서울특별시
1363,워크페이지,경기 하남시 미사강변중앙로204번길 45,127.1903945,37.56597974,http://place.map.kakao.com/284138656,경기도
1364,석인공동사무실,경기 남양주시 경춘로 1287,127.2357281,37.64929966,http://place.map.kakao.com/299937575,경기도
1365,허밍스페이스 미사공유오피스,경기 하남시 대청로22번길 9-18,127.2160487,37.54007609,http://place.map.kakao.com/1436693982,경기도
1366,아토즈워크라운지,서울 송파구 위례광장로 199,127.1427871,37.48170054,http://place.map.kakao.com/268690074,서울특별시
1367,공유오피스21,경기 가평군 가평읍 연인2길 12-9,127.5118998,37.83026718,http://place.map.kakao.com/1767694559,경기도
1368,하남디지털캠프,경기 하남시 검단산로 239,127.2281592,37.53602134,http://place.map.kakao.com/1679858019,경기도
1369,다산웍스,경기 남양주시 진건읍 진건오남로 73,127.178083,37.65721407,http://place.map.kakao.com/409539371,경기도
1370,길소호비즈,서울 강동구 천호대로 1138,127.1376844,37.53391169,http://place.map.kakao.com/920438238,서울특별시
1371,드림코워킹스페이스,서울 송파구 오금로62길 13-8,127.1469168,37.49240125,http://place.map.kakao.com/73406906,서울특별시
1372,용문천년창업센터 공유오피스,경기 양평군 용문면 용문시장3길 4-3,127.5947768,37.48438479,http://place.map.kakao.com/283863772,경기도
1373,일할공간,경기 남양주시 경춘로 460,127.1642024,37.60921623,http://place.map.kakao.com/1679077967,경기도
1374,마이비즈니스파트너 강동점,서울 강동구 고덕로 47,127.1304428,37.55497805,http://place.map.kakao.com/1505516778,서울특별시
1375,몰입의시간,경기 구리시 건원대로 57,127.1392026,37.60619581,http://place.map.kakao.com/1803272754,경기도
1376,로컬스티치 통영,경남 통영시 통영해안로 301,128.424311,34.84192134,http://place.map.kakao.com/1723695441,경상도
1377,토도스24 동대구역점,대구 동구 동대구로 523,128.6259111,35.87703991,http://place.map.kakao.com/1375806745,경상도
1378,어반커먼즈 공유오피스,대구 중구 종로 45-4,128.5909654,35.86989148,http://place.map.kakao.com/301988554,경상도
1379,디노플레이스 경대병원역점,대구 중구 이천로 230-18,128.599778,35.86145597,http://place.map.kakao.com/1688986444,경상도
1380,마이크로웨이브,대구 중구 태평로 160,128.5952477,35.8747477,http://place.map.kakao.com/2011467266,경상도
1381,워크24 달서점,대구 달서구 달구벌대로 1698,128.5515682,35.85515583,http://place.map.kakao.com/218831003,경상도
